,home_id,year,market_val_cleaned,assessed_val_cleaned,zip code,ratio,,,,,,,
88,157,2016,514900,386731,78746,1.331416411,,,,,,,
89,157,2009,414900,302452,78746,1.37178792,,,,,,,
90,167,2017,350000,309990,78717,1.12906868,,,,,,,
91,167,2015,305000,261582,78717,1.165982369,,,,,,,
92,168,2014,1550000,1305137,78746,1.187614787,,,,,,,
93,172,2018,219333,211238,78704,1.038321703,,,,,,,
94,181,2017,353000,293777,78745,1.201591683,,,,,,,
95,182,2019,175000,167100,78722,1.04727708,,,,,,,
96,184,2019,299000,277327,78747,1.078149621,,,,,,,
97,184,2015,229000,200349,78747,1.143005455,,,,,,,
98,185,2011,279500,292241,78717,0.956402421,,,,,,,
99,186,2013,399900,332139,78759,1.204013982,,,,,,,
100,186,2011,369900,316371,78759,1.169196924,,,,,,,
101,192,2009,150000,162707,78736,0.921902561,,,,,,,
102,195,2010,1600000,748690,78747,2.137066075,,,,,,,
103,197,2016,180500,133910,78741,1.347920245,,,,,,,
104,198,2016,500000,372183,78704,1.343425143,,,,,,,
105,199,2018,3195000,2770799,78733,1.153096995,,,,,,,
106,199,2017,3250000,2373636,78733,1.36920741,,,,,,,
107,199,2016,3395000,2373636,78733,1.430295125,,,,,,,
108,199,2015,3850000,2373636,78733,1.621984163,,,,,,,
109,201,2013,1895000,190170,78746,9.964768365,,,,,,,
110,202,2013,245000,111206,78756,2.203118537,,,,,,,
111,203,2017,199000,531800,78617,0.374200827,,,,,,,
112,203,2017,199000,531800,78617,0.374200827,,,,,,,
113,203,2011,109900,414918,78617,0.264871613,,,,,,,
114,203,2011,109900,414918,78617,0.264871613,,,,,,,
115,204,2016,595000,1187307,78739,0.501134079,,,,,,,
116,207,2019,309990,527297,78724,0.587885006,,,,,,,
117,215,2013,275000,35000,78756,7.857142857,,,,,,,
118,216,2018,465000,226153,78737,2.056130142,,,,,,,
119,216,2018,465000,226153,78737,2.056130142,,,,,,,
120,218,2014,189900,223781,78745,0.848597513,,,,,,,
121,223,2016,875000,75702,78701,11.5584793,,,,,,,
122,224,2019,1950000,241152,78737,8.086186306,,,,,,,
123,224,2015,987500,172638,78737,5.720061632,,,,,,,
124,224,2010,745000,161176,78737,4.622276269,,,,,,,
125,226,2019,309995,630733,78745,0.491483718,,,,,,,
126,226,2017,224995,674150,78745,0.333746199,,,,,,,
127,226,2017,224995,674150,78745,0.333746199,,,,,,,
128,238,2019,291990,138125,78724,2.113954751,,,,,,,
129,239,2018,145000,184016,78702,0.787974959,,,,,,,
130,239,2016,150000,136696,78702,1.097325452,,,,,,,
131,241,2017,340000,123836,78744,2.745566717,,,,,,,
132,244,2016,899000,336108,78704,2.674735502,,,,,,,
133,248,2015,669000,65764,78701,10.17273888,,,,,,,
134,250,2011,624429,184000,78704,3.39363587,,,,,,,
135,253,2011,349900,208020,78704,1.682049803,,,,,,,
136,254,2013,238000,465137,78751,0.511677205,,,,,,,
137,258,2019,254990,222302,78724,1.147043211,,,,,,,
138,21,2010,257000,263021,78732,0.977108292,,,,,,,
139,270,2017,425000,408158,78741,1.041263432,,,,,,,
140,275,2018,650000,349466,78704,1.859980656,,,,,,,
141,275,2018,650000,349466,78704,1.859980656,,,,,,,
142,275,2018,700000,349466,78704,2.003056091,,,,,,,
143,280,2011,164900,498892,78730,0.33053246,,,,,,,
144,281,2015,845000,205045,78703,4.1210466,,,,,,,
145,281,2014,759000,154000,78703,4.928571429,,,,,,,
146,281,2014,759000,154000,78703,4.928571429,,,,,,,
147,285,2011,950000,196669,78703,4.830451164,,,,,,,
148,288,2013,229000,253110,78749,0.904744973,,,,,,,
149,289,2018,384999,604500,78737,0.636888337,,,,,,,
150,289,2017,414900,594000,78737,0.698484848,,,,,,,
151,289,2016,374950,598950,78737,0.626012188,,,,,,,
152,289,2013,294900,450000,78737,0.655333333,,,,,,,
153,305,2016,595000,1050214,78701,0.566551198,,,,,,,
154,305,2010,599000,625701,78701,0.957326263,,,,,,,
155,306,2019,1245000,713189,78703,1.745680318,,,,,,,
156,306,2018,1295000,659400,78703,1.963906582,,,,,,,
157,306,2015,1088000,570884,78703,1.905816243,,,,,,,
158,306,2008,749900,338922,78703,2.21260349,,,,,,,
159,307,2013,665000,28855,78704,23.04626581,,,,,,,
160,308,2017,649900,260247,78704,2.497243004,,,,,,,
161,308,2017,649900,260247,78704,2.497243004,,,,,,,
162,308,2017,649900,260247,78704,2.497243004,,,,,,,
163,308,2016,679000,259560,78704,2.61596548,,,,,,,
164,309,2013,232000,81926,78727,2.831823841,,,,,,,
165,311,2018,580000,299186,78721,1.938593383,,,,,,,
166,311,2018,595000,299186,78721,1.988729419,,,,,,,
167,315,2020,4250000,313410,78703,13.56051179,,,,,,,
168,315,2020,4250000,313410,78703,13.56051179,,,,,,,
169,332,2020,321990,305712,78754,1.053246192,,,,,,,
170,335,2019,299990,3447043,78724,0.087028215,,,,,,,
171,336,2019,4200000,1026822,78746,4.090290235,,,,,,,
172,336,2013,4000000,726328,78746,5.507153793,,,,,,,
173,336,2009,3300000,636838,78746,5.181851585,,,,,,,
174,337,2012,849000,156462,78703,5.426237681,,,,,,,
175,337,2010,869000,199566,78703,4.354449155,,,,,,,
176,344,2017,325000,510679,78702,0.636407606,,,,,,,
177,352,2019,335000,677375,78702,0.494556191,,,,,,,
178,352,2018,340000,670386,78702,0.507170496,,,,,,,
179,352,2018,360000,670386,78702,0.537004054,,,,,,,
180,355,2010,470000,258016,78703,1.821592459,,,,,,,
181,360,2019,279990,592691,78724,0.472404676,,,,,,,
182,365,2018,139900,534570,78751,0.26170567,,,,,,,
183,365,2018,139900,534570,78751,0.26170567,,,,,,,
184,365,2018,139900,534570,78751,0.26170567,,,,,,,
185,367,2016,1019000,646121,78704,1.577103979,,,,,,,
186,367,2014,899900,595000,78704,1.512436975,,,,,,,
187,370,2019,945000,256974,78732,3.677414836,,,,,,,
188,370,2019,945000,256974,78732,3.677414836,,,,,,,
189,370,2018,995000,65776,78732,15.12709803,,,,,,,
190,373,2018,1600000,339896,78702,4.70732224,,,,,,,
191,378,2019,450000,1287000,78704,0.34965035,,,,,,,
192,383,2019,296990,359761,78724,0.825520276,,,,,,,
193,385,2019,5900000,402600,78735,14.65474416,,,,,,,
194,395,2019,185000,211048,78721,0.87657784,,,,,,,
195,395,2019,220000,211048,78721,1.042416891,,,,,,,
196,399,2019,319990,448745,78724,0.713077583,,,,,,,
197,410,2018,385000,464638,78704,0.828602051,,,,,,,
198,410,2018,385000,464638,78704,0.828602051,,,,,,,
199,410,2017,395000,422000,78704,0.936018957,,,,,,,
200,428,2019,1795000,329708,78730,5.444211241,,,,,,,
201,430,2017,310000,252673,78704,1.226882176,,,,,,,
202,434,2019,324990,544200,78724,0.597188534,,,,,,,
203,439,2014,525000,870474,78702,0.60311968,,,,,,,
204,442,2014,396250,98519,78701,4.022066809,,,,,,,
205,458,2016,399000,313001,78704,1.274756311,,,,,,,
206,459,2014,245000,333986,78732,0.733563682,,,,,,,
207,459,2012,225000,288414,78732,0.780128565,,,,,,,
208,465,2009,229000,156254,78751,1.465562482,,,,,,,
209,466,2018,389900,329907,78748,1.181848218,,,,,,,
210,472,2018,355000,32779,78703,10.83010464,,,,,,,
211,477,2010,134900,246196,78745,0.547937416,,,,,,,
212,492,2019,624900,12000,78704,52.075,,,,,,,
213,507,2019,955500,75000,78704,12.74,,,,,,,
214,507,2015,780000,47500,78704,16.42105263,,,,,,,
215,509,2019,600000,741617,78704,0.809042943,,,,,,,
216,520,2018,295000,995761,78749,0.296255828,,,,,,,
217,522,2015,598000,55000,78751,10.87272727,,,,,,,
218,522,2014,599000,55000,78751,10.89090909,,,,,,,
219,524,2009,59000,111923,78732,0.527148129,,,,,,,
220,533,2018,815000,231887,78704,3.514642908,,,,,,,
221,538,2019,949000,148750,78701,6.379831933,,,,,,,
222,542,2019,2800000,12900,78701,217.0542636,,,,,,,
223,548,2019,283350,1468241,78721,0.192986029,,,,,,,
224,548,2019,850000,1468241,78721,0.578924032,,,,,,,
225,548,2018,245000,1690379,78721,0.14493791,,,,,,,
226,557,2012,3080000,39290,78701,78.39144821,,,,,,,
227,557,2011,3200000,39290,78701,81.44566047,,,,,,,
228,576,2019,2949000,132127,78701,22.31943509,,,,,,,
229,583,2019,5475000,884550,78701,6.189587926,,,,,,,
230,593,2018,350000,192500,78702,1.818181818,,,,,,,
231,593,2018,400000,192500,78702,2.077922078,,,,,,,
232,607,2019,550000,384565,78701,1.430187355,,,,,,,
233,612,2019,283350,758400,78721,0.373615506,,,,,,,
234,612,2019,850000,758400,78721,1.120780591,,,,,,,
235,619,2017,389900,497320,78732,0.784002252,,,,,,,
236,619,2009,289983,486150,78732,0.596488738,,,,,,,
237,620,2014,365000,57113,78702,6.390839213,,,,,,,
238,622,2013,434900,89835,78737,4.841097568,,,,,,,
239,622,2013,580000,89835,78737,6.45628096,,,,,,,
240,622,2011,585000,92470,78737,6.326376122,,,,,,,
241,639,2014,599000,132473,78744,4.521676115,,,,,,,
242,639,2010,75000,115410,78744,0.649857031,,,,,,,
