iter	RMSE
212	91242.12385
213	90726.79265
214	90484.41304
215	90287.06258
216	90081.63465
217	89753.1276
218	89499.00998
219	89240.7091
220	88728.67941
221	88406.38362
222	87992.04197
223	87587.18629
224	87196.15601
225	86714.51501
226	86260.79025
227	85782.48528
228	85326.46319
229	85093.94541
230	84634.18436
231	84086.12723
232	83653.91533
233	83436.72187
234	83143.71242
235	82749.50063
236	82326.4627
237	81915.10487
238	81523.45151
239	81118.31957
240	80916.57334
241	80524.80897
242	80151.65746
243	79881.42978
244	79546.71147
245	79164.48283
246	78919.51822
247	78621.91628
248	78244.4114
249	77985.2177
250	77781.98497
251	77309.31337
252	76950.33797
253	76766.27095
254	76333.06882
255	75983.9665
256	75798.98181
257	75502.6452
258	75199.0944
259	74856.70071
260	74355.32284
261	73880.87348
262	73654.82795
263	73481.21678
264	73276.57292
265	72945.60844
266	72698.62225
267	72458.29124
268	72303.52207
269	72012.11616
270	71688.62585
271	71505.57959
272	71298.98153
273	70978.61524
274	70730.0713
275	70419.83239
276	70115.62468
277	70029.22867
278	69694.18206
279	69540.24905
280	69401.37261
281	69134.13748
282	68904.82599
283	68823.64689
284	68605.15208
285	68210.50845
286	67924.80446
287	67866.09596
288	67712.8377
289	67320.80389
290	67104.59584
291	66898.0417
292	66482.02392
293	66268.34307
294	66119.5074
295	65924.41559
296	65791.42624
297	65634.23428
298	65409.87159
299	65220.54955
300	65063.81443
301	64987.79742
302	64789.39662
303	64652.22278
304	64474.07855
305	64208.52675
306	64077.99891
307	63939.8741
308	63608.80753
309	63453.19568
310	63327.44715
311	63095.15574
312	62734.91108
313	62382.04069
314	62213.16368
315	61943.86351
316	61767.7795
317	61603.82736
318	61444.18913
319	61288.74219
320	61117.92073
321	60965.85239
322	60808.40935
323	60659.70087
324	60530.09239
325	60334.03262
326	60068.69426
327	59921.36371
328	59615.30269
329	59363.14501
330	59154.87506
331	59076.43255
332	58932.23389
333	58645.32757
334	58547.28913
335	58260.62296
336	57965.67904
337	57733.39647
338	57638.20041
339	57442.61883
340	57350.54862
341	57168.40471
342	57060.32977
343	56850.62793
344	56712.53976
345	56626.80827
346	56425.65928
347	56139.99964
348	55958.3008
349	55705.31911
350	55457.38995
351	55189.96951
352	55121.46394
353	54832.3798
354	54542.23389
355	54386.22969
356	54208.82989
357	53930.20838
358	53864.07895
359	53612.0378
360	53463.99056
361	53216.74497
362	53088.13824
363	52845.96955
364	52744.79487
365	52507.43226
366	52381.36319
367	52148.75177
368	52070.89023
369	51952.69782
370	51725.09535
371	51558.7154
372	51363.55768
373	51269.77982
374	51024.23513
375	50897.51965
376	50696.15504
377	50412.74722
378	50348.45858
379	50170.39265
380	49975.52191
381	49784.03632
382	49596.66307
383	49466.63316
384	49302.23807
385	49158.65384
386	48966.09704
387	48775.95527
388	48678.71604
389	48558.06329
390	48439.8015
391	48335.04673
392	48061.90635
393	47910.8513
394	47689.10767
395	47471.60204
396	47402.17492
397	47172.35807
398	47105.14719
399	46994.59397
400	46766.26438
401	46557.99568
402	46353.88993
403	46187.56502
404	46072.40434
405	45990.71293
406	45828.58512
407	45755.80506
408	45596.54258
409	45404.67043
410	45269.16887
411	45159.52963
412	44973.67001
413	44905.31945
414	44797.40655
415	44629.64672
416	44433.45432
417	44281.21276
418	44183.62198
419	44035.52496
420	43841.93125
421	43752.48124
422	43653.77153
423	43526.88591
424	43380.02586
425	43223.41909
426	43179.09412
427	43069.21228
428	43025.57365
429	42928.81772
430	42779.67324
431	42672.80881
432	42630.04492
433	42484.75669
434	42430.09163
435	42364.61006
436	42311.61334
437	42197.00106
438	42066.41167
439	41984.97969
440	41882.09846
441	41842.88636
442	41798.90485
443	41657.76454
444	41604.24612
445	41490.75994
446	41348.8366
447	41280.93009
448	41138.76611
449	41028.4449
450	40895.06405
451	40852.27074
452	40804.74925
453	40664.08378
454	40532.75426
455	40436.18621
456	40307.31436
457	40200.87523
458	40128.68976
459	40070.56508
460	39943.62412
461	39835.18678
462	39717.43969
463	39662.47599
464	39557.07499
465	39459.80296
466	39356.53152
467	39308.67227
468	39221.76081
469	39149.97821
470	39020.43688
471	38962.89525
472	38902.97611
473	38802.45071
474	38657.43795
475	38613.47037
476	38539.28224
477	38440.69679
478	38319.03241
479	38272.05347
480	38152.72484
481	38035.80465
482	37938.31019
483	37795.51382
484	37748.43733
485	37635.05132
486	37497.41362
487	37356.93441
488	37224.3608
489	37167.90146
490	37130.26982
491	37024.23724
492	36962.89585
493	36870.53185
494	36773.35066
495	36684.79594
496	36604.11065
497	36568.56645
498	36460.14544
499	36342.19193
500	36296.71612
501	36200.00171
502	36137.97167
503	36100.25582
504	36007.00725
505	35882.48958
506	35786.64454
507	35734.61391
508	35685.1801
509	35576.13685
510	35520.21875
511	35412.95866
512	35375.31137
513	35346.25135
514	35306.60218
515	35276.92167
516	35194.53662
517	35066.97819
518	35044.59196
519	35009.9273
520	34934.63254
521	34862.01824
522	34789.36102
523	34694.79931
524	34653.54353
525	34528.50687
526	34429.01742
527	34328.933
528	34280.15534
529	34254.16536
530	34181.80514
531	34093.22315
532	34011.12678
533	33920.78102
534	33869.91983
535	33769.43134
536	33684.61646
537	33611.66885
538	33542.70545
539	33462.80745
540	33372.46344
541	33286.30168
542	33246.52691
543	33174.16601
544	33079.80767
545	32971.07854
546	32859.00719
547	32829.51055
548	32756.54006
549	32650.57225
550	32615.65774
551	32509.71976
552	32425.10633
553	32342.19754
554	32309.57547
555	32228.25645
556	32148.55945
557	32071.2674
558	32038.83511
559	31960.52677
560	31883.76744
561	31845.48226
562	31815.97486
563	31740.63032
564	31659.81856
565	31586.82045
566	31549.45751
567	31506.19925
568	31477.27399
569	31450.8864
570	31421.28002
571	31390.57908
572	31363.75014
573	31335.89561
574	31249.91499
575	31220.40709
576	31189.85197
577	31158.33103
578	31123.87781
579	31097.65659
580	31030.71965
581	30957.95205
582	30930.91745
583	30815.79863
584	30791.28199
585	30743.63257
586	30648.91789
587	30586.38425
588	30502.91458
589	30473.7842
590	30407.05486
591	30337.46685
592	30280.80787
593	30189.52696
594	30172.2621
595	30145.73144
596	30101.40057
597	30084.97092
598	30000.92728
599	29910.2666
600	29836.80685
601	29754.12245
602	29725.19279
603	29691.48669
604	29629.06403
605	29563.79187
606	29529.98628
607	29415.44503
608	29336.82113
609	29309.94455
610	29280.97355
611	29193.16805
612	29126.98848
613	29016.93433
614	28931.80273
615	28907.23323
616	28875.5772
617	28808.06518
618	28762.91361
619	28685.93304
620	28653.35874
621	28602.25119
622	28571.20851
623	28546.32003
624	28506.37795
625	28484.21184
626	28455.09983
627	28384.59209
628	28346.14471
629	28301.66692
630	28255.41039
631	28213.18152
632	28178.19428
633	28088.2571
634	28052.81492
635	28006.76025
636	27989.86951
637	27963.72068
638	27881.6181
639	27800.35577
640	27720.63248
641	27698.49976
642	27682.38494
643	27621.34294
644	27543.20075
645	27510.89856
646	27446.01228
647	27387.80477
648	27329.22948
649	27269.70474
650	27211.32196
651	27156.46839
652	27102.82789
653	27047.12113
654	27013.66509
655	26990.47957
656	26935.73538
657	26909.75899
658	26887.25043
659	26830.48359
660	26760.49675
661	26707.42037
662	26692.57848
663	26649.6072
664	26581.74637
665	26495.77857
666	26444.20565
667	26414.11717
668	26363.51885
669	26254.34794
670	26202.64052
671	26170.88691
672	26107.41381
673	26058.74166
674	26011.03162
675	25964.22183
676	25918.29283
677	25899.37494
678	25868.04615
679	25802.84301
680	25758.03062
681	25729.23999
682	25666.93844
683	25622.78881
684	25581.90267
685	25538.939
686	25487.8555
687	25460.55672
688	25402.41933
689	25380.20929
690	25321.10686
691	25286.9354
692	25261.17575
693	25191.32565
694	25154.38228
695	25086.03601
696	25065.65443
697	24962.22438
698	24919.33087
699	24888.13191
700	24850.36149
701	24827.97781
702	24802.7437
703	24783.203
704	24742.32143
705	24665.87663
706	24623.3834
707	24595.18014
708	24531.00795
709	24504.47432
710	24461.6463
711	24435.74298
712	24393.73342
713	24351.94527
714	24332.01209
715	24299.19012
716	24257.7887
717	24217.15944
718	24197.45719
719	24117.45384
720	24021.48141
721	23999.87292
722	23979.08932
723	23955.16407
724	23898.99493
725	23858.91015
726	23842.47747
727	23819.07192
728	23726.7935
729	23685.46171
730	23667.5779
731	23629.32383
732	23603.12251
733	23585.25668
734	23538.17256
735	23502.77048
736	23465.82099
737	23451.37259
738	23365.22853
739	23343.87133
740	23304.63046
741	23277.78098
742	23223.69834
743	23140.71125
744	23116.60471
745	23078.08723
746	23039.67109
747	23016.02524
748	22962.34294
749	22947.73961
750	22901.08092
751	22848.99018
752	22797.94383
753	22781.28396
754	22725.52466
755	22689.08848
756	22653.32526
757	22618.22125
758	22583.76304
759	22565.95282
760	22548.85602
761	22493.82095
762	22472.16738
763	22424.48846
764	22390.0504
765	22306.47887
766	22290.99342
767	22277.72301
768	22230.95897
769	22197.78472
770	22158.86821
771	22117.6834
772	22078.83871
773	22046.78801
774	22006.8469
775	21975.35833
776	21945.0776
777	21912.53842
778	21896.80676
779	21883.14256
780	21833.07776
781	21804.02259
782	21781.47683
783	21750.9976
784	21711.61772
785	21667.36139
786	21643.8784
787	21623.68411
788	21611.04954
789	21534.34456
790	21497.1293
791	21429.99561
792	21406.94538
793	21373.94583
794	21329.43339
795	21301.75279
796	21273.26233
797	21260.26986
798	21205.66773
799	21192.82574
800	21166.20095
801	21112.65837
802	21076.77613
803	21060.83032
804	21030.85418
805	20999.46892
806	20968.6623
807	20950.45903
808	20929.45821
809	20909.91482
810	20895.66915
811	20842.83611
812	20820.60102
813	20800.69871
814	20770.20199
815	20757.11552
816	20727.1696
817	20688.60716
818	20658.32056
819	20645.87136
820	20616.7461
821	20591.00181
822	20558.0784
823	20528.82511
824	20500.10585
825	20448.72099
826	20435.23776
827	20388.29095
828	20337.92781
829	20325.81838
830	20312.51166
831	20284.46841
832	20269.47223
833	20230.2931
834	20202.50011
835	20175.21923
836	20131.0136
837	20088.45949
838	20071.76211
839	20053.16947
840	20020.32059
841	20000.63313
842	19974.28405
843	19938.54742
844	19924.49946
845	19903.1121
846	19869.8296
847	19844.66236
848	19819.11868
849	19787.4872
850	19771.05241
851	19737.95109
852	19699.9901
853	19684.58228
854	19656.93814
855	19641.62779
856	19583.10106
857	19567.77113
858	19549.95146
859	19502.99081
860	19489.97769
861	19427.04125
862	19416.62874
863	19386.60877
864	19368.82661
865	19355.47119
866	19330.60224
867	19315.45239
868	19269.54366
869	19259.32807
870	19235.70607
871	19196.26857
872	19170.86486
873	19147.89512
874	19119.34539
875	19081.77216
876	19053.76688
877	19021.08938
878	18961.6563
879	18943.26732
880	18916.77887
881	18885.80216
882	18874.36843
883	18848.57258
884	18818.05798
885	18801.16014
886	18770.14508
887	18753.22145
888	18735.84336
889	18719.19666
890	18691.17337
891	18679.12983
892	18668.07806
893	18654.02124
894	18643.39045
895	18593.75376
896	18583.33129
897	18559.66463
898	18524.34351
899	18501.09368
900	18463.92284
901	18448.59641
902	18423.17382
903	18410.18826
904	18387.03314
905	18365.37035
906	18323.50116
907	18306.23346
908	18283.39778
909	18257.99922
910	18231.76475
911	18196.89231
912	18164.94737
913	18154.77954
914	18134.4738
915	18109.90071
916	18100.70503
917	18090.77651
918	18050.91165
919	18031.56552
920	18016.99073
921	17993.25993
922	17971.74534
923	17950.87673
924	17938.83766
925	17915.59855
926	17903.58416
927	17892.34986
928	17874.93652
929	17865.75462
930	17851.3772
931	17835.032
932	17807.60275
933	17795.45345
934	17786.84097
935	17778.73231
936	17757.82423
937	17743.76628
938	17689.21318
939	17659.98457
940	17638.26432
941	17613.47756
942	17606.22326
943	17554.67809
944	17503.0595
945	17482.97848
946	17463.27182
947	17451.45011
948	17436.24167
949	17418.94306
950	17368.51927
951	17347.27422
952	17329.2021
953	17316.9796
954	17296.11197
955	17277.57649
956	17257.12135
957	17238.18392
958	17219.97572
959	17188.64149
960	17168.56675
961	17152.56612
962	17132.89855
963	17081.21685
964	17067.76391
965	17037.48885
966	17018.40706
967	16997.31865
968	16978.43891
969	16965.63542
970	16936.50053
971	16920.16739
972	16892.32502
973	16871.45632
974	16859.68635
975	16833.49838
976	16824.88092
977	16806.61958
978	16790.44993
979	16774.08493
980	16761.77436
981	16741.85052
982	16726.09212
983	16702.41414
984	16686.18954
985	16670.56749
986	16652.22583
987	16634.91414
988	16625.94655
989	16581.40752
990	16564.14318
991	16553.20107
992	16536.41451
993	16508.90085
994	16496.23095
995	16483.35868
996	16467.17594
997	16455.28533
998	16415.56885
999	16407.31357
