id,home_id,date,value
0,5,1269300304660,null
1,5,1237764304660,null
2,6,1553297105672,36780
3,6,1521761105672,27228
4,6,1490225105672,25795
5,6,1458689105672,24364
6,6,1427066705672,24358
7,6,1395530705672,23886
8,6,1363994705672,22690
9,6,1332458705672,21496
10,6,1300836305672,20304
11,6,1269300305672,20299
12,6,1237764305672,19905
13,6,1206228305672,18909
14,7,1553297106470,24780
15,7,1521761106470,9952
16,7,1490225106470,9876
17,7,1458689106470,9318
18,7,1427066706470,8791
19,7,1395530706470,8294
20,7,1363994706470,8294
21,7,1332458706470,8230
22,7,1300836306470,7765
23,7,1269300306470,7326
24,7,1237764306470,6912
25,7,1206228306470,6912
26,7,1174605906470,6859
27,7,1143073506470,6471
28,7,1111537506470,6105
29,7,1080001506470,5760
30,7,1048379106470,5760
31,7,1016843106470,5716
32,7,985307106470,5393
33,7,953771106470,5088
34,11,1553297110157,24780
35,11,1521761110157,13076
36,11,1490225110157,12358
37,11,1458689110157,11673
38,11,1427066710157,11667
39,11,1395530710157,11544
40,11,1363994710157,10897
41,11,1332458710157,10299
42,11,1300836310157,9728
43,11,1269300310157,9723
44,11,1237764310157,9620
45,11,1206228310157,9081
46,11,1174605910157,8583
47,11,1143073510157,8107
48,11,1111537510157,8103
49,11,1080001510157,8017
50,11,1048379110157,7568
51,11,1016843110157,7153
52,11,985307110157,6756
53,11,953771110157,6753
54,14,1553297112981,2805300
55,14,1521761112981,2630250
56,14,1490225112981,2638350
57,15,1553297113791,31260
58,15,1521761113791,28862
59,15,1490225113791,28492
60,15,1458689113791,26880
61,15,1427066713791,27022
62,15,1395530713791,25495
63,15,1363994713791,24052
64,15,1332458713791,24052
65,15,1300836313791,23869
66,15,1269300313791,22519
67,15,1237764313791,21246
68,15,1206228313791,20044
69,15,1174605913791,20044
70,15,1143073513791,19891
71,15,1111537513791,18766
72,15,1080001513791,17706
73,15,1048379113791,16704
74,15,1016843113791,16704
75,15,985307113791,16576
76,15,953771113791,15639
77,16,1553297114826,26400
78,16,1521761114826,15006
79,16,1490225114826,14157
80,16,1458689114826,13356
81,16,1427066714826,12600
82,16,1395530714826,12600
83,16,1363994714826,12600
84,16,1332458714826,16200
85,16,1300836314826,18720
86,16,1269300314826,18300
87,16,1237764314826,17740
88,16,1206228314826,16737
89,16,1174605914826,15988
90,16,1143073514826,15988
91,16,1111537514826,15671
92,16,1080001514826,14784
93,16,1048379114826,13948
94,16,1016843114826,13324
95,16,985307114826,13324
96,16,953771114826,13060
97,18,1553297116912,47160
98,18,1521761116912,11373
99,18,1490225116912,10747
100,18,1458689116912,10152
101,18,1427066716912,10152
102,18,1395530716912,10026
103,18,1363994716912,9478
104,18,1332458716912,8956
105,18,1300836316912,8460
106,18,1269300316912,8460
107,18,1237764316912,8355
108,18,1206228316912,7899
109,18,1174605916912,7464
110,18,1143073516912,7050
111,18,1111537516912,7050
112,18,1080001516912,6963
113,18,1048379116912,6583
114,18,1016843116912,6220
115,18,985307116912,5875
116,18,953771116912,5875
117,19,1553297118032,974700
118,19,1521761118032,540067
119,19,1490225118032,529008
120,19,1458689118032,505682
121,19,1427066718032,477059
122,19,1395530718032,450056
123,19,1363994718032,450056
124,19,1332458718032,440840
125,19,1300836318032,422388
126,19,1269300318032,398480
127,19,1237764318032,368397
128,19,1206228318032,368397
129,19,1174605918032,360717
130,19,1143073518032,336927
131,19,1111537518032,319221
132,19,1080001518032,278400
133,19,1048379118032,278400
134,19,1016843118032,272000
135,19,985307118032,260675
136,19,953771118032,245920
137,22,1553297121436,43920
138,22,1521761121436,31020
139,22,1490225121436,29859
140,22,1458689121436,29859
141,22,1427066721436,28615
142,22,1395530721436,27232
143,22,1363994721436,25850
144,22,1332458721436,24883
145,22,1300836321436,24883
146,22,1269300321436,23846
147,22,1237764321436,22694
148,22,1206228321436,21542
149,22,1174605921436,20736
150,22,1143073521436,20736
151,22,1111537521436,19872
152,22,1080001521436,18912
153,22,1048379121436,17952
154,22,1016843121436,17280
155,22,985307121436,17280
156,22,953771121436,16560
157,23,1553297122673,28080
158,23,1521761122673,20988
159,23,1490225122673,19800
160,23,1458689122673,19584
161,23,1427066722673,19584
162,23,1395530722673,18539
163,23,1363994722673,17490
164,23,1332458722673,16500
165,23,1300836322673,16320
166,23,1269300322673,19008
167,23,1237764322673,18071
168,23,1206228322673,17049
169,23,1174605922673,17049
170,23,1143073522673,16790
171,23,1111537522673,15840
172,23,1080001522673,15060
173,23,1048379122673,14208
174,23,1016843122673,14208
175,23,985307122673,13992
176,23,953771122673,13200
177,24,1553297123541,27300
178,24,1521761123541,23400
