id,home_id,date,value
0,1,1.55335E+12,239261
1,2,1.55335E+12,323379
2,2,1.52181E+12,316756
3,2,1.49028E+12,30000
4,3,1.55335E+12,335635
5,3,1.52181E+12,335622
6,4,1.49028E+12,335368
7,4,1.45874E+12,318493
8,4,1.42712E+12,271834
9,4,1.39558E+12,257231
10,4,1.36405E+12,251804
11,4,1.33251E+12,225734
12,4,1.30089E+12,250153
13,4,1.26935E+12,264492
14,4,1.23782E+12,264492
15,4,1.20628E+12,198488
16,4,1.17466E+12,183852
17,4,1.14313E+12,195311
18,4,1.11159E+12,137859
19,5,1.55335E+12,180986
20,5,1.52181E+12,151096
21,5,1.49028E+12,137360
22,5,1.45874E+12,124873
23,5,1.42712E+12,113521
24,5,1.39558E+12,103201
25,5,1.36405E+12,93819
26,5,1.33251E+12,85290
27,5,1.30089E+12,126581
28,5,1.26935E+12,127706
29,5,1.23782E+12,168098
30,5,1.20628E+12,152816
31,5,1.17466E+12,149398
32,5,1.14313E+12,147138
33,5,1.11159E+12,143521
34,6,1.55335E+12,455548
35,6,1.52181E+12,457609
36,6,1.49028E+12,439162
37,6,1.45874E+12,428624
38,6,1.42712E+12,416975
39,6,1.39558E+12,379370
40,6,1.36405E+12,346699
41,7,1.55335E+12,230558
42,7,1.52181E+12,200575
43,7,1.49028E+12,197913
44,7,1.45874E+12,170344
45,7,1.42712E+12,143905
46,7,1.39558E+12,126225
47,7,1.36405E+12,111317
48,7,1.33251E+12,109694
49,7,1.30089E+12,113545
50,7,1.26935E+12,123669
51,7,1.23782E+12,132462
52,7,1.20628E+12,131923
53,7,1.17466E+12,123266
54,7,1.14313E+12,116434
55,7,1.11159E+12,117558
56,7,1.0169E+12,126079
57,8,1.55335E+12,273949
58,8,1.52181E+12,264519
59,8,1.49028E+12,240472
60,8,1.45874E+12,218611
61,8,1.42712E+12,198737
62,8,1.39558E+12,180670
63,8,1.36405E+12,164245
64,8,1.33251E+12,149314
65,8,1.30089E+12,135740
66,8,1.26935E+12,157395
67,8,1.23782E+12,158864
68,8,1.20628E+12,150607
69,8,1.17466E+12,148081
70,8,1.14313E+12,132064
71,8,1.11159E+12,202339
72,9,1.55335E+12,308637
73,9,1.52181E+12,314227
74,9,1.49028E+12,285661
75,9,1.45874E+12,259692
76,9,1.42712E+12,236084
77,9,1.39558E+12,214622
78,9,1.36405E+12,195111
79,9,1.33251E+12,188810
80,9,1.30089E+12,205191
81,9,1.26935E+12,220312
82,9,1.23782E+12,216532
83,9,1.20628E+12,204288
84,9,1.17466E+12,185716
85,9,1.14313E+12,170959
86,9,1.11159E+12,155417
87,9,1.0169E+12,170500
88,10,1.55335E+12,225955
89,10,1.52181E+12,172655
90,10,1.49028E+12,156959
91,10,1.45874E+12,142690
92,10,1.42712E+12,136538
