id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
494,"3009 Royster St, Del Valle, TX 78617",0,0,,3009,TRUE,425000,https://www.zillow.com/homedetails/3009-Royster-St-Del-Valle-TX-78617/29466067_zpid/,07:27.7
495,"The Rushmore Plan, Pioneer Hill",2,,2110,2021,TRUE,387990,https://www.zillow.com/community/pioneer-hill/2077117430_zpid/,07:28.8
496,"2314 Westoak Dr, Austin, TX 78704",3,6,1260,1956,TRUE,1275000,https://www.zillow.com/homedetails/2314-Westoak-Dr-Austin-TX-78704/29474773_zpid/,07:29.8
497,"710 E Dean Keeton St APT 110, Austin, TX 78705",1,6,600,1973,TRUE,219900,https://www.zillow.com/homedetails/710-E-Dean-Keeton-St-APT-110-Austin-TX-78705/2075092715_zpid/,07:30.7
498,"800 Embassy Dr UNIT 211, Austin, TX 78702",1,6,752,2018,TRUE,369900,https://www.zillow.com/homedetails/800-Embassy-Dr-UNIT-211-Austin-TX-78702/305425709_zpid/,07:31.6
499,"44 East Ave #1610, Austin, TX 78701",2,6,1260,2020,TRUE,994410,https://www.zillow.com/homedetails/44-East-Ave-1610-Austin-TX-78701/2073363930_zpid/,07:32.7
500,"4405 Jackson Ave #3105, Austin, TX 78731",2,6,999,2020,TRUE,542000,https://www.zillow.com/homedetails/4405-Jackson-Ave-3105-Austin-TX-78731/2077056981_zpid/,07:34.0
501,"706 West Ave APT B, Austin, TX 78701",2,6,1428,1979,TRUE,959000,https://www.zillow.com/homedetails/706-West-Ave-APT-B-Austin-TX-78701/29326479_zpid/,07:35.3
502,"109 E 10th St, Austin, TX 78701",1,6,4916,1961,TRUE,3200000,https://www.zillow.com/homedetails/109-E-10th-St-Austin-TX-78701/2075222056_zpid/,07:36.3
503,"114 E 31st St APT 103, Austin, TX 78705",1,6,582,1981,TRUE,219000,https://www.zillow.com/homedetails/114-E-31st-St-APT-103-Austin-TX-78705/62576616_zpid/,07:37.3
504,"McKinney Plan, Mueller   Courtyard Row",3,6,2223,2021,TRUE,740990,https://www.zillow.com/community/mueller-courtyard-row/2072934645_zpid/,07:38.5
505,"The Yellowstone II Plan, Pioneer Hill",2,,1670,2021,TRUE,369990,https://www.zillow.com/community/pioneer-hill/2077117431_zpid/,07:39.6
506,"505 Bellevue Pl APT 5, Austin, TX 78705",1,6,846,1981,TRUE,324900,https://www.zillow.com/homedetails/505-Bellevue-Pl-APT-5-Austin-TX-78705/29395838_zpid/,07:40.6
507,"2801 Cedarview Dr, Austin, TX 78704",7,6,3298,1956,TRUE,1945000,https://www.zillow.com/homedetails/2801-Cedarview-Dr-Austin-TX-78704/29472400_zpid/,07:41.6
508,"10202 Sweetwater River Cv, Austin, TX 78748",4,6,1834,1989,TRUE,425000,https://www.zillow.com/homedetails/10202-Sweetwater-River-Cv-Austin-TX-78748/29512129_zpid/,07:42.8
509,"2417 S 5th St, Austin, TX 78704",0,0,,2417,TRUE,300000,https://www.zillow.com/homedetails/2417-S-5th-St-Austin-TX-78704/125807036_zpid/,07:43.8
510,"6000 Shepherd Mountain Cv UNIT 106, Austin, TX 78730",1,6,706,1992,TRUE,209000,https://www.zillow.com/homedetails/6000-Shepherd-Mountain-Cv-UNIT-106-Austin-TX-78730/2097547315_zpid/,07:44.7
511,"1600 Barton Springs Rd UNIT 3304, Austin, TX 78704",3,6,1520,2008,TRUE,839000,https://www.zillow.com/homedetails/1600-Barton-Springs-Rd-UNIT-3304-Austin-TX-78704/83124427_zpid/,07:45.8
512,"301 West Ave #2005, Austin, TX 78701",1,6,1001,2018,TRUE,840000,https://www.zillow.com/homedetails/301-West-Ave-2005-Austin-TX-78701/306644419_zpid/,07:47.0
513,"The Pioneer Plan, Tiermo",3,6,1472,2021,TRUE,296990,https://www.zillow.com/community/tiermo/2078624733_zpid/,07:48.2
514,"4209 Afton Ln, Austin, TX 78744",0,0,,4209,TRUE,275000,https://www.zillow.com/homedetails/4209-Afton-Ln-Austin-TX-78744/2077088801_zpid/,07:49.2
515,"2200 Spring Creek Dr, Austin, TX 78704",0,6,3250,1972,TRUE,1450000,https://www.zillow.com/homedetails/2200-Spring-Creek-Dr-Austin-TX-78704/2116176175_zpid/,07:50.3
516,"2500 Longview St #112, Austin, TX 78705",2,6,572,2021,TRUE,290000,https://www.zillow.com/homedetails/2500-Longview-St-112-Austin-TX-78705/2075590984_zpid/,07:51.6
517,"603 Davis St APT 2103, Austin, TX 78701",2,6,1610,2006,TRUE,869000,https://www.zillow.com/homedetails/603-Davis-St-APT-2103-Austin-TX-78701/80094792_zpid/,07:52.5
518,"912 Philco Dr #A &amp; B, Austin, TX 78745",0,6,2225,2012,TRUE,699000,https://www.zillow.com/homedetails/912-Philco-Dr-A-B-Austin-TX-78745/2072820421_zpid/,07:53.5
519,"1010 W 23rd St #7, Austin, TX 78705",2,6,850,1975,TRUE,295000,https://www.zillow.com/homedetails/1010-W-23rd-St-7-Austin-TX-78705/2075169256_zpid/,07:54.6
520,"6516 Convict Hill Rd, Austin, TX 78749",0,0,,6516,TRUE,349000,https://www.zillow.com/homedetails/6516-Convict-Hill-Rd-Austin-TX-78749/144364725_zpid/,07:55.7
521,"360 Nueces St APT 4002, Austin, TX 78701",2,6,1059,2008,TRUE,850000,https://www.zillow.com/homedetails/360-Nueces-St-APT-4002-Austin-TX-78701/89548672_zpid/,07:56.8
522,"5115 N Lamar Blvd, Austin, TX 78751",9,6,5834,1942,TRUE,1500000,https://www.zillow.com/homedetails/5115-N-Lamar-Blvd-Austin-TX-78751/29407793_zpid/,07:58.6
523,"0 Far View Dr, Austin, TX 78730",1074890,,,0,TRUE,1074890,https://www.zillow.com/homedetails/0-Far-View-Dr-Austin-TX-78730/2115795703_zpid/,07:59.7
524,"13701 Montview Dr, Austin, TX 78732",0,0,,13701,TRUE,380000,https://www.zillow.com/homedetails/13701-Montview-Dr-Austin-TX-78732/83823478_zpid/,08:00.7
525,"The Quincy Plan, Tiermo",1,,2656,2021,TRUE,343990,https://www.zillow.com/community/tiermo/2078783149_zpid/,08:01.7
526,"3202 Lyons Rd, Austin, TX 78702",1,6,672,1948,TRUE,2100000,https://www.zillow.com/homedetails/3202-Lyons-Rd-Austin-TX-78702/29385540_zpid/,08:02.7
527,"4325 Jackson Ave #2204, Austin, TX 78731",1,6,1125,2020,TRUE,581000,https://www.zillow.com/homedetails/4325-Jackson-Ave-2204-Austin-TX-78731/2081117454_zpid/,08:03.8
