id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
30,"419 W 55th St APT 4C, New York, NY 10019",2,,1300,1911,True,1150000,https://www.zillow.com/homedetails/419-W-55th-St-APT-4C-New-York-NY-10019/72538814_zpid/,2021-03-22 19:25:29.734457
31,"123 E 61st St, New York, NY 10065",123,6,9300,1900,True,18800000,https://www.zillow.com/homedetails/123-E-61st-St-New-York-NY-10065/31534377_zpid/,2021-03-22 19:25:30.581473
32,"86-29 77th Ave, Ridgewood, NY 11385",2,6,,1940,True,599000,https://www.zillow.com/homedetails/86-29-77th-Ave-Ridgewood-NY-11385/2072831598_zpid/,2021-03-22 19:25:31.344402
33,"61 E 77th St, New York, NY 10075",1,6,49000,1920,True,599000,https://www.zillow.com/homedetails/61-E-77th-St-New-York-NY-10075/244840282_zpid/,2021-03-22 19:25:32.212986
34,"2911 D Ave, Brooklyn, NY 11226",3,6,2160,1910,True,399000,https://www.zillow.com/homedetails/2911-D-Ave-Brooklyn-NY-11226/2075897556_zpid/,2021-03-22 19:25:33.020647
35,"213-43 112th Ave, Queens Village, NY 11429",5,6,,1925,True,699999,https://www.zillow.com/homedetails/213-43-112th-Ave-Queens-Village-NY-11429/2072574406_zpid/,2021-03-22 19:25:33.906354
36,"20 W 53rd St, New York, NY 10019",1,,7381,2014,True,39950000,https://www.zillow.com/homedetails/20-W-53rd-St-New-York-NY-10019/122272179_zpid/,2021-03-22 19:25:35.167067
37,"499 Davis Ave #1, Staten Island, NY 10310",2,6,2408,1965,True,898000,https://www.zillow.com/homedetails/499-Davis-Ave-1-Staten-Island-NY-10310/2075356594_zpid/,2021-03-22 19:25:36.092554
38,"303 E 57th St APT 44G, New York, NY 10022",3,,3300,1968,True,795000,https://www.zillow.com/homedetails/303-E-57th-St-APT-44G-New-York-NY-10022/2076710336_zpid/,2021-03-22 19:25:36.860213
39,"4 W 21st St APT 14B, New York, NY 10010",3,6,1674,2006,True,1595000,https://www.zillow.com/homedetails/4-W-21st-St-APT-14B-New-York-NY-10010/72538276_zpid/,2021-03-22 19:25:37.626248
40,"100 W 57th St APT 5R, New York, NY 10019",1,6,900,1962,True,185000,https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/,2021-03-22 19:25:38.484213
41,"12 E 63rd St, New York, NY 10065",20,,13000,1910,True,65000000,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/,2021-03-22 19:25:39.381615
42,"221-27 113th Dr, Queens Village, NY 11429",4,6,,1935,True,599000,https://www.zillow.com/homedetails/221-27-113th-Dr-Queens-Village-NY-11429/2072490773_zpid/,2021-03-22 19:25:40.524121
43,"105-14 134th St, South Richmond Hill, NY 11419",3,6,1264,1920,True,389000,https://www.zillow.com/homedetails/105-14-134th-St-South-Richmond-Hill-NY-11419/2073091889_zpid/,2021-03-22 19:25:41.291708
44,"303 E 57th St APT 32B, New York, NY 10022",2,6,1800,1968,True,445000,https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/,2021-03-22 19:25:42.488851
45,"18-70 211th St APT 2D, Bayside, NY 11360",3,6,1400,1959,True,379000,https://www.zillow.com/homedetails/18-70-211th-St-APT-2D-Bayside-NY-11360/89139258_zpid/,2021-03-22 19:25:43.627896
46,"8829 183rd St, Jamaica, NY 11423",3,6,1632,1930,True,250000,https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/,2021-03-22 19:25:44.718580
47,"10218 Russell St, Jamaica, NY 11414",2,,,1925,True,329000,https://www.zillow.com/homedetails/10218-Russell-St-Jamaica-NY-11414/32218247_zpid/,2021-03-22 19:25:45.461371
48,"100 W 57th St #11R, New York, NY 10019",1,6,900,1962,True,215000,https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/,2021-03-22 19:25:46.341224
49,"106-43 156th St, Jamaica, NY 11433",8,6,2200,1931,True,460000,https://www.zillow.com/homedetails/106-43-156th-St-Jamaica-NY-11433/2073914665_zpid/,2021-03-22 19:25:47.151355
50,"755 Oakland Pl APT 4C, Bronx, NY 10457",1,6,580,1907,True,50000,https://www.zillow.com/homedetails/755-Oakland-Pl-APT-4C-Bronx-NY-10457/2072913084_zpid/,2021-03-22 19:25:48.059240
51,"81 Milford St, Brooklyn, NY 11208",5,6,1152,1910,True,499000,https://www.zillow.com/homedetails/81-Milford-St-Brooklyn-NY-11208/30643606_zpid/,2021-03-22 19:25:48.872201
52,"295 Skyline Dr #C, Staten Island, NY 10304",3,6,,2001,True,348000,https://www.zillow.com/homedetails/295-Skyline-Dr-C-Staten-Island-NY-10304/2078655685_zpid/,2021-03-22 19:25:49.934460
53,"111 W 57th St PENTHOUSE 72, New York, NY 10019",1,,7130,2020,True,66000000,https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/,2021-03-22 19:25:50.744787
54,"150 Sullivan St APT 19, New York, NY 10012",2,6,20190,1900,True,495000,https://www.zillow.com/homedetails/150-Sullivan-St-APT-19-New-York-NY-10012/244892508_zpid/,2021-03-22 19:25:51.770615
55,"416 College Ave, Staten Island, NY 10314",4,6,,1920,True,699900,https://www.zillow.com/homedetails/416-College-Ave-Staten-Island-NY-10314/32282456_zpid/,2021-03-22 19:25:52.577803
56,"5303 Fillmore Ave, Brooklyn, NY 11234",5303,6,1278,1955,True,550000,https://www.zillow.com/homedetails/5303-Fillmore-Ave-Brooklyn-NY-11234/30784604_zpid/,2021-03-22 19:25:53.514220
57,"205 E 63rd St APT 15D, New York, NY 10065",2,6,,1963,True,550000,https://www.zillow.com/homedetails/205-E-63rd-St-APT-15D-New-York-NY-10065/2078579913_zpid/,2021-03-22 19:25:54.800389
58,"281 Wyona St, Brooklyn, NY 11207",9,6,3075,1901,True,499900,https://www.zillow.com/homedetails/281-Wyona-St-Brooklyn-NY-11207/30634354_zpid/,2021-03-22 19:25:55.625646
